GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
99,1697,1050,63,298,1718,3.6,125,30,6.2
99,1696,1050,62,296,1718,3.6,125,25,6.2
99,1696,1050,62,296,1718,3.6,125,25,6.2
99,1694,1050,62,300,1717,3.6,125,31,6.2
99,1695,1050,63,307,1717,3.6,125,30,6.2
99,1695,1050,62,295,1718,3.6,118,32,6.2
99,1695,1050,62,295,1718,3.6,118,32,6.2
99,1696,1050,59,304,1717,3.6,123,28,6.2
99,1696,1050,59,304,1717,3.6,123,28,6.2
99,1697,1050,60,298,1718,3.6,119,27,6.2
99,1698,1050,62,302,1718,3.6,121,29,6.2
99,1694,1050,62,308,1718,3.6,128,29,6.2
99,1689,1050,63,306,1718,3.6,129,30,6.2
99,1689,1050,63,306,1718,3.6,129,30,6.2
99,1690,1050,63,313,1717,3.6,132,27,6.2
99,1690,1050,63,313,1717,3.6,132,27,6.2
99,1693,1050,62,300,1718,3.6,127,32,6.2
99,1693,1050,62,300,1718,3.6,127,32,6.2
99,1695,1050,63,306,1717,3.6,123,30,6.2
99,1695,1050,63,306,1717,3.6,123,30,6.2
99,1694,1050,63,310,1718,3.6,123,29,6.2
99,1695,1050,63,313,1717,3.6,117,26,6.2
99,1696,1050,60,303,1717,3.5,117,34,6.2
99,1696,1050,60,303,1717,3.5,117,34,6.2
98,1690,1050,63,314,1717,3.5,123,22,6.2
98,1690,1050,63,314,1717,3.5,123,22,6.2
99,1689,1050,63,298,1717,3.5,117,31,6.2
99,1627,1050,63,242,1718,3.5,109,30,6.2
99,1627,1050,63,242,1718,3.5,109,30,6.2
99,1694,1050,61,308,1717,3.5,121,30,6.2
99,1697,1050,63,303,1718,3.5,122,29,6.2
99,1696,1050,63,304,1718,3.5,125,30,6.2
99,1696,1050,63,304,1718,3.5,125,30,6.2
99,1690,1050,63,310,1718,3.5,121,29,6.2
99,1692,1050,64,310,1717,3.5,120,30,6.2
