GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
99,1674,1050,57,330,2224,5.9,67,21,6
99,1680,1050,57,327,2223,5.9,64,13,6
99,1680,1050,57,327,2223,5.9,64,13,6
99,1678,1050,59,330,2235,5.9,67,21,6
99,1678,1050,59,330,2235,5.9,67,21,6
99,1674,1050,56,328,2240,5.8,73,20,6
99,1673,1050,59,335,2239,5.8,74,21,6
99,1673,1050,59,335,2239,5.8,74,21,6
99,1676,1050,60,328,2227,5.8,71,19,6
99,1676,1050,60,328,2227,5.8,71,19,6
99,1679,1050,58,326,2223,5.8,67,18,6
99,1680,1050,57,330,2223,5.8,64,14,6
99,1680,1050,57,330,2223,5.8,64,14,6
99,1670,1050,59,325,2258,5.8,64,21,6
99,1668,1050,59,321,2274,5.8,71,25,6
99,1668,1050,59,321,2274,5.8,71,25,6
99,1672,1050,59,328,2278,5.8,64,23,6
99,1672,1050,59,328,2278,5.8,64,23,6
99,1671,1050,57,330,2256,5.9,68,19,5.9
99,1671,1050,57,326,2245,6,71,21,5.9
99,1671,1050,57,326,2245,6,71,21,5.9
99,1669,1050,59,330,2241,5.9,69,22,5.9
99,1669,1050,59,330,2241,5.9,69,22,5.9
99,1668,1050,60,331,2265,5.9,65,19,5.9
99,1668,1050,60,331,2265,5.9,65,19,5.9
99,1669,1050,59,332,2277,6,68,23,6
99,1675,1050,60,341,2278,6,68,22,6
99,1675,1050,60,341,2278,6,68,22,6
99,1673,1050,57,329,2278,5.9,65,21,6
99,1673,1050,57,329,2278,5.9,65,21,6
99,1674,1050,57,329,2275,5.9,69,20,6
99,1666,1050,59,333,2276,5.9,72,20,6
99,1666,1050,59,333,2276,5.9,72,20,6
99,1674,1050,57,325,2290,6,64,21,6
99,1674,1050,57,325,2290,6,64,21,6
99,1672,1050,57,332,2294,6,64,19,6
99,1675,1050,59,331,2293,6,68,21,6
99,1675,1050,60,333,2296,6,68,17,6
99,1675,1050,60,333,2296,6,68,17,6
99,1675,1050,57,333,2294,6,68,17,6
99,1675,1050,57,333,2294,6,68,17,6
99,1676,1050,60,333,2296,6,68,18,6
99,1676,1050,60,333,2296,6,68,18,6
99,1675,1050,60,331,2263,6,68,18,6
99,1674,1050,61,333,2246,6,68,18,6
99,1674,1050,61,333,2246,6,68,18,6
99,1667,1050,60,332,2240,6,78,22,6
99,1667,1050,60,332,2240,6,78,22,6
99,1672,1050,60,330,2265,6,66,18,6
99,1671,1050,57,332,2273,5.8,69,17,6
99,1671,1050,57,332,2273,5.8,69,17,6
99,1675,1050,60,328,2277,5.8,72,20,6
99,1675,1050,60,328,2277,5.8,72,20,6
99,1673,1050,57,332,2243,5.9,73,18,6
99,1674,1050,61,329,2229,5.8,71,19,6
99,1674,1050,61,329,2229,5.8,71,19,6
99,1673,1050,60,336,2226,5.8,73,19,6
99,1673,1050,60,336,2226,5.8,73,19,6
99,1671,1050,60,328,2236,5.9,64,16,6
99,1671,1050,60,328,2236,5.9,64,16,6
99,1675,1050,60,328,2241,5.9,66,16,6
99,1677,1050,60,323,2242,5.9,68,16,6
99,1677,1050,60,323,2242,5.9,68,16,6
99,1673,1050,60,336,2272,5.9,70,17,6
99,1668,1050,60,334,2291,5.9,69,16,6
99,1668,1050,60,334,2291,5.9,69,16,6
99,1665,1050,60,337,2295,5.9,69,18,6
99,1665,1050,60,337,2295,5.9,69,18,6
99,1671,1050,61,336,2262,5.9,68,19,6
99,1671,1050,61,336,2262,5.9,68,19,6
99,1678,1050,58,332,2242,5.9,67,18,6
99,1677,1050,60,336,2244,5.9,68,19,5.9
99,1676,1050,58,338,2242,5.9,69,21,5.9
99,1678,1050,60,339,2280,5.9,65,19,5.9
99,1678,1050,60,339,2280,5.9,65,19,5.9
99,1675,1050,57,335,2295,5.9,65,16,5.9
99,1675,1050,58,340,2296,5.8,67,28,5.9
99,1675,1050,58,340,2296,5.8,67,28,5.9
99,1670,1050,58,323,2308,5.7,67,23,6
81,1640,1050,59,275,2313,5.7,64,36,6
81,1640,1050,59,275,2313,5.7,64,36,6
99,1679,1050,58,330,2311,5.7,64,15,5.9
99,1679,1050,58,330,2311,5.7,64,15,5.9
99,1671,1050,60,334,2302,5.7,64,19,5.9
99,1671,1050,60,334,2302,5.7,64,19,5.9
99,1671,1050,60,333,2294,5.7,66,18,5.9
99,1669,1050,60,331,2294,5.7,66,20,5.9
99,1669,1050,60,331,2294,5.7,66,20,5.9
99,1676,1050,58,341,2286,5.7,67,19,6
99,1676,1050,58,341,2286,5.7,67,19,6
99,1672,1050,60,338,2280,5.7,66,14,6
99,1671,1050,61,340,2278,5.7,71,19,6
99,1670,1050,59,332,2278,5.7,68,11,6
99,1670,1050,59,332,2278,5.7,68,11,6
99,1663,1050,60,335,2295,5.7,68,13,6
99,1674,1050,60,330,2294,5.7,71,19,6
99,1677,1050,60,329,2297,5.8,68,18,6
99,1677,1050,60,329,2297,5.8,68,18,6
99,1671,1050,57,333,2262,5.8,71,18,6
99,1671,1050,60,333,2249,5.8,77,23,6
99,1671,1050,60,333,2249,5.8,77,23,6
99,1676,1050,60,339,2245,5.8,67,17,6
99,1676,1050,58,324,2243,5.8,66,17,6
99,1676,1050,58,324,2243,5.8,66,17,6
99,1669,1050,57,327,2227,5.8,64,21,6
99,1669,1050,57,327,2227,5.8,64,21,6
99,1675,1050,58,325,2224,5.8,63,21,6
99,1674,1050,58,331,2223,5.7,64,35,5.9
99,1674,1050,58,331,2223,5.7,64,35,5.9
99,1673,1050,60,338,2273,5.7,65,20,5.9
99,1676,1050,60,334,2279,5.7,66,17,5.9
99,1677,1050,60,329,2279,5.7,66,16,5.9
99,1677,1050,60,329,2279,5.7,66,16,5.9
99,1676,1050,60,328,2290,5.7,66,14,5.9
99,1679,1050,60,330,2296,5.7,62,17,5.9
99,1679,1050,60,330,2296,5.7,62,17,5.9
99,1680,1050,61,334,2297,5.7,64,11,5.9
99,1680,1050,61,334,2297,5.7,64,11,5.9
99,1681,1050,58,329,2262,5.7,64,17,5.9
99,1681,1050,58,329,2262,5.7,64,17,5.9
99,1681,1050,61,333,2244,5.7,64,13,5.9
99,1679,1050,60,329,2246,5.7,65,28,5.9
99,1679,1050,60,326,2243,5.7,64,20,6
99,1679,1050,60,326,2243,5.7,64,20,6
99,1683,1050,61,335,2289,5.7,63,16,6
99,1683,1050,61,335,2289,5.7,63,16,6
99,1670,1050,61,341,2297,5.7,66,21,6
99,1670,1050,61,341,2297,5.7,66,21,6
99,1669,1050,60,336,2328,5.6,67,18,6
99,1663,1050,62,339,2344,5.5,71,17,6
99,1663,1050,62,339,2344,5.5,71,17,6
99,1661,1050,58,338,2347,5.5,70,20,6
99,1668,1050,61,338,2345,5.5,71,19,6
99,1668,1050,61,338,2345,5.5,71,19,6
99,1679,1050,61,335,2316,5.5,69,16,6
99,1679,1050,61,335,2316,5.5,69,16,6
99,1674,1050,58,338,2315,5.5,66,24,6
99,1674,1050,58,338,2315,5.5,66,24,6
99,1675,1050,61,336,2314,5.6,73,20,6
99,1675,1050,61,336,2314,5.6,73,20,6
99,1676,1050,59,337,2313,5.6,69,20,6
99,1679,1050,61,332,2315,5.6,68,19,6
99,1678,1050,59,341,2316,5.6,67,19,6
99,1678,1050,59,341,2316,5.6,67,19,6
99,1675,1050,61,333,2316,5.6,64,6,6
99,1675,1050,61,333,2316,5.6,64,6,6
99,1674,1050,58,337,2314,5.6,65,22,6
99,1674,1050,58,337,2314,5.6,65,22,6
99,1674,1050,59,329,2316,5.6,67,18,6
99,1675,1050,58,330,2315,5.6,69,29,6.1
99,1675,1050,58,330,2315,5.6,69,29,6.1
99,1675,1050,59,330,2312,5.6,75,24,6
99,1682,1050,59,338,2311,5.6,67,24,6
99,1682,1050,59,338,2311,5.6,67,19,6
99,1680,1050,61,327,2346,5.6,65,14,6
99,1680,1050,61,327,2346,5.6,65,14,6
99,1668,1050,58,336,2349,5.6,67,19,6
99,1668,1050,58,336,2349,5.6,67,19,6
99,1675,1050,61,328,2300,5.6,68,24,6
99,1675,1050,61,328,2300,5.6,68,24,6
99,1674,1050,61,331,2281,5.6,67,21,6
99,1668,1050,59,330,2280,5.6,68,23,6
99,1668,1050,59,330,2280,5.6,68,23,6
99,1670,1050,58,329,2302,5.6,69,22,6
99,1670,1050,58,329,2302,5.6,69,22,6
99,1675,1050,62,330,2313,5.6,70,24,6
99,1677,1050,61,337,2314,5.6,67,27,6
99,1675,1050,61,339,2312,5.6,70,16,6
99,1675,1050,61,339,2312,5.6,70,16,6
99,1678,1050,61,337,2314,5.6,70,19,6
99,1681,1050,61,334,2314,5.6,66,19,6
99,1672,1050,59,338,2315,5.6,68,24,6
99,1672,1050,59,338,2315,5.6,68,24,6
99,1674,1050,61,335,2303,5.6,63,21,6.1
99,1674,1050,61,335,2303,5.6,63,21,6.1
99,1677,1050,59,322,2297,5.5,62,18,6
99,1677,1050,61,326,2298,5.5,63,19,6
99,1677,1050,61,326,2298,5.5,63,19,6
99,1675,1050,61,336,2340,5.5,62,20,6
99,1675,1050,61,336,2340,5.5,62,20,6
99,1663,1050,59,357,2364,5.7,70,25,6.1
99,1664,1050,61,349,2366,5.7,72,20,6.1
99,1664,1050,61,349,2366,5.7,72,20,6.1
99,1669,1050,61,354,2329,5.7,66,15,6.1
99,1669,1050,61,354,2329,5.7,66,15,6.1
99,1681,1050,61,333,2315,5.7,63,12,6.1
99,1681,1050,61,333,2315,5.7,63,12,6.1
99,1688,1050,60,333,2314,5.7,55,22,6.1
99,1688,1050,60,333,2314,5.7,55,22,6.1
99,1681,1050,59,340,2314,5.7,59,18,6.1
99,1681,1050,59,340,2314,5.7,59,18,6.1
99,1683,1050,59,340,2315,5.7,59,16,6.1
99,1683,1050,59,340,2315,5.7,59,16,6.1
99,1681,1050,61,340,2314,5.7,61,16,6.1
99,1684,1050,61,339,2312,5.7,59,16,6.1
99,1684,1050,61,339,2312,5.7,59,16,6.1
99,1682,1050,61,339,2316,5.7,59,16,6.1
99,1682,1050,61,339,2316,5.7,59,16,6.1
99,1687,1050,61,337,2334,5.7,58,17,6.1
99,1687,1050,61,337,2334,5.7,58,17,6.1
99,1685,1050,61,333,2346,5.7,58,17,6.1
99,1685,1050,61,340,2346,5.7,57,20,6.1
99,1685,1050,61,340,2346,5.7,57,20,6.1
99,1682,1050,61,344,2301,5.7,61,15,6.1
99,1682,1050,61,344,2301,5.7,61,15,6.1
99,1685,1050,59,339,2282,5.7,61,20,6.1
99,1685,1050,61,333,2279,5.7,58,20,6.1
99,1685,1050,61,333,2279,5.7,58,20,6.1
99,1679,1050,61,339,2289,5.7,61,18,6.1
99,1679,1050,61,339,2289,5.7,61,18,6.1
99,1683,1050,61,344,2297,5.7,60,19,6.1
99,1684,1050,59,335,2296,5.7,62,16,6.1
99,1681,1050,61,340,2298,5.7,60,15,6.1
99,1681,1050,61,340,2298,5.7,60,15,6.1
99,1682,1050,61,335,2248,5.7,60,18,6.1
99,1682,1050,61,335,2248,5.7,60,18,6.1
99,1681,1050,59,337,2244,5.7,62,19,6.1
99,1681,1050,59,337,2244,5.7,62,19,6.1
99,1668,1050,61,346,2288,5.6,67,21,6.1
99,1668,1050,61,346,2288,5.6,67,21,6.1
99,1646,1050,61,354,2311,5.6,78,23,6.1
99,1649,1050,61,353,2311,5.6,77,20,6.1
99,1649,1050,61,353,2311,5.6,77,20,6.1
99,1653,1050,62,355,2315,5.6,79,21,6.1
99,1653,1050,62,355,2315,5.6,79,21,6.1
99,1652,1050,62,352,2315,5.6,80,23,6.1
99,1648,1050,62,350,2313,5.6,75,23,6.1
99,1648,1050,62,350,2313,5.6,75,23,6.1
99,1649,1050,61,354,2312,5.6,76,20,6.1
99,1649,1050,61,354,2312,5.6,76,20,6.1
99,1651,1050,62,348,2313,5.6,72,20,6.1
99,1652,1050,62,352,2315,5.6,75,22,6.1
99,1652,1050,62,352,2315,5.6,75,22,6.1
99,1674,1050,59,353,2332,5.6,76,17,6.1
99,1674,1050,59,353,2332,5.6,76,17,6.1
99,1673,1050,60,344,2346,5.7,73,16,6.1
99,1680,1050,62,339,2350,5.7,73,17,6.1
99,1680,1050,62,339,2350,5.7,73,17,6.1
99,1681,1050,59,340,2348,5.7,71,13,6.1
99,1681,1050,59,340,2348,5.7,71,13,6.1
99,1679,1050,60,337,2346,5.7,71,15,6.1
