GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
99,1652,1050,60,327,2291,5.1,102,29,6.9
99,1652,1050,58,326,2297,5.1,99,25,6.9
99,1652,1050,58,326,2297,5.1,99,25,6.9
99,1653,1050,59,333,2300,5.1,96,26,6.9
99,1653,1050,59,333,2300,5.1,96,26,6.9
99,1652,1050,58,332,2313,5.1,102,27,6.9
99,1652,1050,58,332,2313,5.1,102,27,6.9
99,1650,1050,58,316,2316,5.1,101,29,6.9
99,1650,1050,58,316,2316,5.1,101,29,6.9
99,1651,1050,61,330,2318,5.1,101,27,6.9
99,1656,1050,58,327,2317,5.1,98,29,6.9
99,1657,1050,61,328,2315,5.1,97,27,6.9
99,1657,1050,61,328,2315,5.1,97,27,6.9
99,1658,1050,58,329,2315,5.1,98,24,6.9
99,1658,1050,58,329,2315,5.1,98,24,6.9
99,1658,1050,58,326,2300,5.1,98,23,6.9
99,1658,1050,61,326,2296,5.1,98,28,6.9
99,1658,1050,61,326,2296,5.1,98,28,6.9
99,1652,1050,61,320,2298,5.1,104,26,6.9
99,1652,1050,61,320,2298,5.1,104,26,6.9
99,1655,1050,58,323,2314,5.1,96,27,6.9
99,1655,1050,58,323,2314,5.1,96,27,6.9
99,1650,1050,61,331,2317,5.1,102,27,6.9
99,1650,1050,61,331,2317,5.1,102,27,6.9
99,1649,1050,59,330,2314,5.1,104,27,6.9
99,1648,1050,62,332,2316,5.1,103,25,6.9
99,1648,1050,62,332,2316,5.1,103,25,6.9
99,1647,1050,60,334,2319,5.1,103,25,6.9
99,1647,1050,60,334,2319,5.1,103,25,6.9
99,1649,1050,61,329,2287,5.1,100,27,6.9
99,1649,1050,59,331,2257,5.1,101,27,6.9
99,1648,1050,61,329,2247,5.1,102,23,6.9
99,1648,1050,61,329,2247,5.1,102,23,6.9
99,1652,1050,59,327,2246,5.1,102,27,6.9
99,1653,1050,60,322,2279,5.1,101,29,6.9
99,1653,1050,60,322,2279,5.1,101,29,6.9
99,1646,1050,61,339,2312,5.1,102,29,6.9
99,1646,1050,61,339,2312,5.1,102,29,6.9
99,1646,1050,61,327,2316,5.1,106,26,6.9
99,1646,1050,61,327,2316,5.1,106,26,6.9
99,1647,1050,61,348,2349,5.1,105,25,6.9
